2024-04-22 16:14:33 Размерность обучающей выборки: (8000, 4)
2024-04-22 16:14:33 Размерность тестовой выборки: (2000, 4)
2024-04-22 16:14:34 Количество правил: -  3125
2024-04-22 16:14:34 start gradient descent
2024-04-22 20:29:04 ошибка - 0.005405675449055467
2024-04-22 20:30:02 ошибка - 0.005047595060066223
2024-04-22 20:31:00 ошибка - 0.013479789748907216
2024-04-22 20:31:58 ошибка - 0.0004379048721547857
2024-04-22 20:32:56 ошибка - 0.007285768769158563
2024-04-22 20:33:53 ошибка - 0.01601298782718211
2024-04-22 20:34:51 ошибка - 0.01947087903701938
2024-04-22 20:35:49 ошибка - 0.0197728063345541
2024-04-22 20:36:47 ошибка - 0.01160230053515791
2024-04-22 20:37:45 ошибка - 0.019210857300854527
2024-04-22 20:38:42 ошибка - 0.01084809849093514
2024-04-22 20:39:40 ошибка - 0.014040192948504476
2024-04-22 20:40:38 ошибка - 0.030082094990619077
2024-04-22 20:41:37 ошибка - 0.004161572510295068
2024-04-22 20:42:35 ошибка - 0.022954830882766494
2024-04-22 20:43:33 ошибка - 0.025807011824287913
2024-04-22 20:44:31 ошибка - 0.0009105883667423468
2024-04-22 20:45:29 ошибка - 0.00962508968291624
2024-04-22 20:46:27 ошибка - 0.0010350597526414416
2024-04-22 20:47:25 ошибка - 0.011597549192079303
2024-04-22 20:48:23 ошибка - 0.005424512705790424
2024-04-22 20:49:21 ошибка - 0.024299497075482946
2024-04-22 20:50:19 ошибка - 0.0033707220683492495
2024-04-22 20:51:17 ошибка - 0.051888760266412336
2024-04-22 20:52:15 ошибка - 0.006182286137643477
2024-04-22 20:52:16 Эпоха 3/1000, best fitness score: 0.9506708672756704
2024-04-22 20:53:14 ошибка - 0.008011061359787616
2024-04-22 20:54:12 ошибка - 0.045137376967429525
2024-04-22 20:55:10 ошибка - 0.030830879696837128
2024-04-22 20:56:09 ошибка - 0.032542074398139324
2024-04-22 20:57:07 ошибка - 0.027223718408894523
2024-04-22 20:58:06 ошибка - 0.01041654288039939
2024-04-22 20:59:05 ошибка - 0.03964631583258641
2024-04-22 21:00:05 ошибка - 0.023040904490853192
2024-04-22 21:01:04 ошибка - 0.017182868244620154
2024-04-22 21:02:04 ошибка - 0.0040822084567319035
2024-04-22 21:03:04 ошибка - 0.002802911766673635
2024-04-22 21:04:03 ошибка - 0.0009085838733985065
2024-04-22 21:05:01 ошибка - 0.00849726175838139
2024-04-22 21:06:02 ошибка - 0.008891299989135341
2024-04-22 21:07:04 ошибка - 0.011340758625917626
2024-04-22 21:08:06 ошибка - 0.01971765170855508
2024-04-22 21:09:07 ошибка - 0.008075604036865067
2024-04-22 21:10:07 ошибка - 0.005845500417668556
2024-04-22 21:11:09 ошибка - 0.018461778812157548
2024-04-22 21:12:18 ошибка - 0.003286833800992892
2024-04-22 21:13:37 ошибка - 0.028518623483330993
2024-04-22 21:14:57 ошибка - 0.0016926573088283845
2024-04-22 21:16:21 ошибка - 0.006506059970664705
2024-04-22 21:17:46 ошибка - 0.01538631708970362
2024-04-22 21:19:11 ошибка - 0.020312445366211497
2024-04-22 21:20:36 ошибка - 0.010173961590640896
2024-04-22 21:22:02 ошибка - 0.005056703270415658
2024-04-22 21:23:31 ошибка - 0.00828686393794005
2024-04-22 21:24:59 ошибка - 0.015659707202714368
2024-04-22 21:26:27 ошибка - 0.0027962278408978462
2024-04-22 21:26:28 Эпоха 4/1000, best fitness score: 0.9506708672756704
2024-04-22 21:27:56 ошибка - 0.026192023652469077
2024-04-22 21:29:25 ошибка - 0.01577619257384317
2024-04-22 21:30:53 ошибка - 0.04299743720556532
2024-04-22 21:32:23 ошибка - 0.014379163778910582
2024-04-22 21:33:45 ошибка - 0.027061796051448258
2024-04-22 21:35:05 ошибка - 0.05138954366147581
2024-04-22 21:36:30 ошибка - 0.010894156944698924
2024-04-22 21:37:56 ошибка - 0.011616747018165088
2024-04-22 21:39:22 ошибка - 0.009177391957518988
2024-04-22 21:40:44 ошибка - 0.01577619257384317
2024-04-22 21:42:08 ошибка - 0.014023184770120017
2024-04-22 21:43:32 ошибка - 0.021241858422316486
2024-04-22 21:44:57 ошибка - 0.006142216704727488
2024-04-22 21:46:21 ошибка - 0.01705706379701024
2024-04-22 21:47:45 ошибка - 0.0018123972114097084
2024-04-22 21:49:10 ошибка - 0.005529976198746253
2024-04-22 21:50:36 ошибка - 0.014366037155947961
2024-04-22 21:52:02 ошибка - 0.001233516497387064
2024-04-22 21:53:28 ошибка - 0.0042972234904831205
2024-04-22 21:54:53 ошибка - 0.004683348120236868
2024-04-22 21:56:17 ошибка - 0.023694934269357242
2024-04-22 21:57:44 ошибка - 0.0023610124411675183
2024-04-22 21:59:09 ошибка - 0.016584803577951036
2024-04-22 22:00:34 ошибка - 0.001632326257892063
2024-04-22 22:01:57 ошибка - 0.009808271181751428
2024-04-22 22:03:22 ошибка - 0.015675736121441644
2024-04-22 22:04:48 ошибка - 0.003357166417921696
2024-04-22 22:06:14 ошибка - 0.010536947684704819
2024-04-22 22:07:39 ошибка - 0.009327664147735145
2024-04-22 22:09:03 ошибка - 0.006611564271512129
2024-04-22 22:09:04 Эпоха 5/1000, best fitness score: 0.9506708672756704
2024-04-22 22:10:28 ошибка - 0.005103043771201118
2024-04-22 22:11:54 ошибка - 0.014145004149046774
2024-04-22 22:13:10 ошибка - 0.014844413017029452
2024-04-22 22:14:16 ошибка - 0.01446747631228271
2024-04-22 22:15:22 ошибка - 0.013211058603562467
2024-04-22 22:16:25 ошибка - 0.010092871595167046
2024-04-22 22:17:27 ошибка - 0.007191207452413009
2024-04-22 22:18:27 ошибка - 0.018332345133379797
2024-04-22 22:19:26 ошибка - 0.01794067949179706
2024-04-22 22:20:26 ошибка - 0.00811264431422991
2024-04-22 22:21:26 ошибка - 0.012706827831322523
2024-04-22 22:22:45 ошибка - 0.011240757565439472
2024-04-22 22:23:59 ошибка - 0.006755706457414807
2024-04-22 22:25:13 ошибка - 0.0035766896476914765
2024-04-22 22:26:26 ошибка - 0.004369158075020198
2024-04-22 22:27:40 ошибка - 0.009544850817211386
2024-04-22 22:28:54 ошибка - 0.0051167335129075715
2024-04-22 22:30:08 ошибка - 0.0181901188598542
2024-04-22 22:31:22 ошибка - 0.00598225969470657
2024-04-22 22:32:34 ошибка - 0.007907236483044464
2024-04-22 22:33:48 ошибка - 0.015077841044198088
2024-04-22 22:35:01 ошибка - 0.013211058603562467
2024-04-22 22:36:14 ошибка - 0.0022378140731814104
2024-04-22 22:37:28 ошибка - 0.006416585433403733
2024-04-22 22:38:43 ошибка - 0.010682545729699695
2024-04-22 22:39:57 ошибка - 0.0031598897933969015
2024-04-22 22:41:13 ошибка - 0.002784828116252884
2024-04-22 22:42:25 ошибка - 0.0031223125921232817
2024-04-22 22:43:39 ошибка - 0.013558336160512883
2024-04-22 22:44:53 ошибка - 0.022071274202077856
2024-04-22 22:44:54 Эпоха 6/1000, best fitness score: 0.9506708672756704
2024-04-22 22:46:07 ошибка - 0.011847657793675557
2024-04-22 22:47:19 ошибка - 0.016881029987531763
2024-04-22 22:48:33 ошибка - 0.007329493928646815
2024-04-22 22:49:45 ошибка - 0.01515981311073119
2024-04-22 22:51:00 ошибка - 0.00255320442003221
